665,560,490,point_id,coarse,clay,sand,silt,phc,phh,ec,caco3,p,n,k,elevation,lc1,lu1,stones,lon,lat,rr,distance,oc
0.763676,0.832794,0.951745,46442722,-9999,-9999,-9999,-9999,5.2,5.37,75.1,0,20.4,4.5,143.3,782,E20,U111,1.1,1.1,66.1,8.446575342465753,0,1.0
0.769394,0.863565,0.95356,46522722,-9999,-9999,-9999,-9999,4.6,4.83,93.2,0,61.6,5.7,163.3,684,E20,U111,1.2,1.2,66.0,-9999.0,-9999,47.52314219
0.815166,0.956967,1.072489,46882726,-9999,-9999,-9999,-9999,4.0,4.2,30.5,0,23.8,3.4,89.8,807,C21,U120,1.3,4.1,66.0,-9999.0,-9999,47.53878371
0.842054,0.950161,1.045911,47122726,-9999,-9999,-9999,-9999,6.9,7.16,102.4,89,28.8,6.9,235.0,670,E20,U111,1.2,3.1,66.2,-9999.0,-9999,47.52410118
